,MachineIdentifier,ProductName,EngineVersion,AppVersion,AvSigVersion,IsBeta,RtpStateBitfield,IsSxsPassiveMode,DefaultBrowsersIdentifier,AVProductStatesIdentifier,AVProductsInstalled,AVProductsEnabled,HasTpm,CountryIdentifier,CityIdentifier,OrganizationIdentifier,GeoNameIdentifier,LocaleEnglishNameIdentifier,Platform,Processor,OsVer,OsBuild,OsSuite,OsPlatformSubRelease,OsBuildLab,SkuEdition,IsProtected,AutoSampleOptIn,PuaMode,SMode,IeVerIdentifier,SmartScreen,Firewall,UacLuaenable,Census_MDC2FormFactor,Census_DeviceFamily,Census_OEMNameIdentifier,Census_OEMModelIdentifier,Census_ProcessorCoreCount,Census_ProcessorManufacturerIdentifier,Census_ProcessorModelIdentifier,Census_ProcessorClass,Census_PrimaryDiskTotalCapacity,Census_PrimaryDiskTypeName,Census_SystemVolumeTotalCapacity,Census_HasOpticalDiskDrive,Census_TotalPhysicalRAM,Census_ChassisTypeName,Census_InternalPrimaryDiagonalDisplaySizeInInches,Census_InternalPrimaryDisplayResolutionHorizontal,Census_InternalPrimaryDisplayResolutionVertical,Census_PowerPlatformRoleName,Census_InternalBatteryType,Census_InternalBatteryNumberOfCharges,Census_OSVersion,Census_OSArchitecture,Census_OSBranch,Census_OSBuildNumber,Census_OSBuildRevision,Census_OSEdition,Census_OSSkuName,Census_OSInstallTypeName,Census_OSInstallLanguageIdentifier,Census_OSUILocaleIdentifier,Census_OSWUAutoUpdateOptionsName,Census_IsPortableOperatingSystem,Census_GenuineStateName,Census_ActivationChannel,Census_IsFlightingInternal,Census_IsFlightsDisabled,Census_FlightRing,Census_ThresholdOptIn,Census_FirmwareManufacturerIdentifier,Census_FirmwareVersionIdentifier,Census_IsSecureBootEnabled,Census_IsWIMBootEnabled,Census_IsVirtualDevice,Census_IsTouchEnabled,Census_IsPenCapable,Census_IsAlwaysOnAlwaysConnectedCapable,Wdft_IsGamer,Wdft_RegionIdentifier,HasDetections
3082108,586d40804b950d0376575fdf10ee89ae,win8defender,1.1.15100.1,4.18.1806.18062,1.273.520.0,0,7.0,0,,53447.0,1.0,1.0,1,65,148451.0,,192.0,162,windows10,x64,10.0.0.0,17134,768,rs4,17134.1.amd64fre.rs4_release.180410-1804,Home,1.0,0,,0.0,137.0,,1.0,1.0,Notebook,Windows.Desktop,2668.0,171197.0,4.0,1.0,269.0,,953869.0,HDD,912078.0,0,8192.0,Notebook,17.2,1600.0,900.0,Mobile,,0.0,10.0.17134.165,amd64,rs4_release,17134,165,Core,CORE,Reset,23.0,105,FullAuto,0,IS_GENUINE,Retail,,0.0,Retail,,628.0,27767.0,1,,0.0,0,0,0.0,1.0,15.0,1
3553333,65fb3fae2d37f90e6b3174592f2490a8,win8defender,1.1.15200.1,4.18.1807.18075,1.275.453.0,0,7.0,0,,7945.0,2.0,1.0,1,29,143155.0,27.0,35.0,171,windows10,x64,10.0.0.0,16299,256,rs3,16299.431.amd64fre.rs3_release_svc_escrow.180502-1908,Pro,1.0,0,,0.0,117.0,RequireAdmin,1.0,1.0,Notebook,Windows.Desktop,2206.0,249972.0,4.0,5.0,2462.0,,114473.0,SSD,113121.0,0,4096.0,Notebook,14.0,1280.0,1024.0,Mobile,,0.0,10.0.16299.611,amd64,rs3_release_svc_escrow,16299,611,Professional,PROFESSIONAL,UUPUpgrade,26.0,119,AutoInstallAndRebootAtMaintenanceTime,0,IS_GENUINE,Retail,,0.0,Retail,,500.0,14353.0,0,,0.0,0,0,0.0,0.0,10.0,0
6768315,c23aa37fb69e00afe2668ed150dee1ea,win8defender,1.1.15100.1,4.18.1807.18075,1.273.689.0,0,7.0,0,,53447.0,1.0,1.0,1,158,109370.0,27.0,202.0,70,windows10,x64,10.0.0.0,16299,768,rs3,16299.431.amd64fre.rs3_release_svc_escrow.180502-1908,Home,1.0,0,,0.0,117.0,RequireAdmin,1.0,1.0,Notebook,Windows.Desktop,2668.0,171356.0,4.0,5.0,2382.0,,953869.0,HDD,913414.0,0,4096.0,Notebook,14.0,1366.0,768.0,Mobile,,0.0,10.0.16299.551,amd64,rs3_release_svc_escrow,16299,551,CoreSingleLanguage,CORE_SINGLELANGUAGE,Upgrade,8.0,31,Notify,0,IS_GENUINE,OEM:DM,,0.0,Retail,,628.0,8941.0,1,,0.0,0,0,0.0,1.0,1.0,1
7098147,cba75d6c4d9b6533591e94b9cb8a5df5,win8defender,1.1.15200.1,4.12.16299.15,1.275.483.0,0,7.0,0,,68585.0,2.0,1.0,1,43,29575.0,18.0,53.0,42,windows10,x64,10.0.0.0,16299,768,rs3,16299.15.amd64fre.rs3_release.170928-1534,Home,1.0,0,,0.0,111.0,,1.0,1.0,Notebook,Windows.Desktop,2903.0,331590.0,12.0,5.0,3125.0,,122104.0,SSD,121087.0,0,8192.0,Notebook,15.5,1920.0,1080.0,Mobile,,0.0,10.0.16299.15,amd64,rs3_release,16299,15,CoreCountrySpecific,CORE_COUNTRYSPECIFIC,IBSClean,37.0,158,UNKNOWN,0,IS_GENUINE,OEM:DM,,0.0,Retail,,142.0,46589.0,1,,0.0,0,0,0.0,1.0,7.0,1
716616,149746364c6b763662d03e1f263029fd,win8defender,1.1.15200.1,4.18.1807.18075,1.275.215.0,0,7.0,0,,53447.0,1.0,1.0,1,107,58489.0,27.0,138.0,134,windows10,x64,10.0.0.0,15063,256,rs2,15063.0.amd64fre.rs2_release.170317-1834,Pro,1.0,0,,0.0,108.0,,1.0,1.0,Desktop,Windows.Desktop,4909.0,317701.0,6.0,5.0,2749.0,,953869.0,HDD,953867.0,0,8192.0,Desktop,23.1,1024.0,768.0,Desktop,,4294967295.0,10.0.15063.0,amd64,rs2_release,15063,0,Core,CORE,IBSClean,20.0,83,UNKNOWN,0,OFFLINE,Retail,,0.0,Retail,,142.0,52530.0,0,,0.0,0,0,0.0,,,0
4032470,73b55c256da94ce6a73b697434c5226d,win8defender,1.1.15200.1,4.16.17656.18052,1.275.995.0,0,7.0,0,,53447.0,1.0,1.0,1,107,,18.0,138.0,134,windows10,x64,10.0.0.0,17134,768,rs4,17134.1.amd64fre.rs4_release.180410-1804,Home,1.0,0,,0.0,137.0,,1.0,1.0,Desktop,Windows.Desktop,4909.0,317701.0,4.0,5.0,2407.0,,114473.0,SSD,113922.0,0,8192.0,Desktop,23.9,1920.0,1080.0,Desktop,,4294967295.0,10.0.17134.81,amd64,rs4_release,17134,81,Core,CORE,UUPUpgrade,20.0,83,UNKNOWN,0,IS_GENUINE,Retail,,0.0,Unknown,,142.0,53840.0,0,,0.0,0,0,0.0,0.0,1.0,0
5618322,a144bd7b751e44642414695597062feb,win8defender,1.1.15100.1,4.18.1806.18062,1.273.421.0,0,7.0,0,,53447.0,1.0,1.0,1,89,66953.0,27.0,120.0,262,windows10,x64,10.0.0.0,16299,256,rs3,16299.431.amd64fre.rs3_release_svc_escrow.180502-1908,Pro,1.0,0,,0.0,117.0,,0.0,1.0,Desktop,Windows.Desktop,2102.0,250496.0,8.0,5.0,3079.0,,,UNKNOWN,,0,,Desktop,17.1,1280.0,1024.0,Desktop,,,10.0.16299.547,amd64,rs3_release_svc_escrow,16299,547,Professional,PROFESSIONAL,Other,8.0,31,UNKNOWN,0,IS_GENUINE,OEM:DM,,0.0,Retail,,,,1,,0.0,0,0,,1.0,1.0,1
4113328,76053d62a34729dc13993df56ca79d9c,win8defender,1.1.15200.1,4.18.1807.18075,1.275.319.0,0,7.0,0,,5290.0,3.0,2.0,1,142,74924.0,27.0,277.0,75,windows10,x64,10.0.0.0,14393,256,rs1,14393.693.amd64fre.rs1_release.161220-1747,Pro,1.0,0,,0.0,94.0,RequireAdmin,1.0,1.0,Notebook,Windows.Desktop,2668.0,256260.0,8.0,5.0,2877.0,,488386.0,SSD,487795.0,1,8192.0,Laptop,15.5,1366.0,768.0,Mobile,lion,0.0,10.0.14393.693,amd64,rs1_release,14393,693,Professional,PROFESSIONAL,Update,8.0,31,FullAuto,0,INVALID_LICENSE,Retail,0.0,0.0,Retail,0.0,628.0,12961.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0
6688441,bff46b56844b0596f8c295bbdf5ab7e8,win8defender,1.1.15200.1,4.18.1807.18075,1.275.1244.0,0,7.0,0,,53447.0,1.0,1.0,1,201,66202.0,,267.0,251,windows10,x64,10.0.0.0,16299,768,rs3,16299.15.amd64fre.rs3_release.170928-1534,Home,1.0,0,,0.0,135.0,RequireAdmin,1.0,1.0,Desktop,Windows.Desktop,924.0,193928.0,4.0,5.0,2329.0,,476940.0,HDD,476323.0,0,4096.0,Desktop,15.5,1920.0,1080.0,Mobile,liio,0.0,10.0.16299.125,amd64,rs3_release,16299,125,CoreSingleLanguage,CORE_SINGLELANGUAGE,Update,35.0,148,Notify,0,IS_GENUINE,OEM:DM,,0.0,Retail,0.0,299.0,44908.0,0,0.0,0.0,0,0,0.0,0.0,11.0,0
3999290,72c2b3150fd8797639ead6a5a6bfa67c,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1548.0,0,7.0,0,,53447.0,1.0,1.0,1,201,152147.0,,267.0,251,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1.0,0,,0.0,137.0,ExistsNotSet,1.0,1.0,Notebook,Windows.Desktop,2331.0,199435.0,4.0,5.0,2908.0,,122104.0,SSD,121127.0,0,4096.0,Notebook,15.7,1280.0,800.0,Mobile,#,4294967295.0,10.0.17134.48,amd64,rs4_release,17134,48,ProfessionalEducation,PROFESSIONAL,UUPUpgrade,7.0,148,UNKNOWN,0,IS_GENUINE,Retail,0.0,0.0,Unknown,0.0,142.0,12416.0,0,0.0,0.0,1,0,0.0,0.0,11.0,1
